0;0;1843,938878;112,7432181
0;1;1843,924473;112,7480436
0;2;1843,929717;112,7358763
0;3;1843,930896;112,7384473
0;4;1843,928637;112,7387118
100;0;1843,2373;112,6688868
100;1;1843,233939;112,6653928
100;2;1843,241532;112,6677118
100;3;1843,236628;112,665794
100;4;1843,237911;112,6656938
200;0;1842,510226;112,4484065
200;1;1842,510074;112,4506882
200;2;1842,512691;112,4485745
200;3;1842,51687;112,4514944
200;4;1842,506303;112,4564146
300;0;1841,74953;112,3177588
300;1;1841,757565;112,3059079
300;2;1841,751476;112,3263997
300;3;1841,749704;112,3237667
300;4;1841,739377;112,311582
400;0;1840,952618;112,1341085
400;1;1840,955447;112,1501126
400;2;1840,943681;112,1363101
400;3;1840,958927;112,143462
400;4;1840,957623;112,1438091
500;0;1840,167853;112,1348599
500;1;1840,170282;112,1363935
500;2;1840,16597;112,1275279
500;3;1840,163913;112,1310787
500;4;1840,170952;112,1320141
600;0;1839,646771;112,0982429
600;1;1839,65013;112,0870789
600;2;1839,662572;112,085181
600;3;1839,64025;112,1006361
600;4;1839,652802;112,0916105
700;0;1839,103981;112,041219
700;1;1839,101887;112,0434616
700;2;1839,092381;112,043144
700;3;1839,096004;112,04588
700;4;1839,094616;112,0378748
800;0;1838,638247;111,9782016
800;1;1838,636229;111,9880296
800;2;1838,623644;111,9989819
800;3;1838,628979;112,0004342
800;4;1838,628818;111,9846632
900;0;1838,209669;111,8982919
900;1;1838,209384;111,8768402
900;2;1838,189599;111,9421565
900;3;1838,20128;111,8872526
900;4;1838,206437;111,8907397
1000;0;1837,825416;112,0785373
1000;1;1837,830323;112,0669532
1000;2;1837,832497;112,0664108
1000;3;1837,826082;112,0644432
1000;4;1837,826615;112,0637524
1100;0;1837,982956;112,42487
1100;1;1837,989509;112,4243608
1100;2;1837,986725;112,4334189
1100;3;1837,988173;112,4333594
1100;4;1837,965873;112,4301246
1200;0;1837,222558;112,3748012
1200;1;1837,216097;112,3864876
1200;2;1837,229982;112,3666307
1200;3;1837,206593;112,395208
1200;4;1837,226808;112,3872862
1300;0;1835,907665;112,2228754
1300;1;1835,88993;112,2307089
1300;2;1835,901348;112,230563
1300;3;1835,909471;112,2369716
1300;4;1835,903238;112,2395303
1400;0;1835,315876;112,3035652
1400;1;1835,324329;112,3173444
1400;2;1835,314954;112,317856
1400;3;1835,292511;112,3023643
1400;4;1835,304216;112,3087714
1500;0;1834,822026;112,2629236
1500;1;1834,821981;112,2748326
1500;2;1834,828553;112,2797044
1500;3;1834,825462;112,2815613
1500;4;1834,830932;112,2786916
1600;0;1834,141359;112,5437557
1600;1;1834,141634;112,5577648
1600;2;1834,142015;112,5534467
1600;3;1834,137845;112,5621307
1600;4;1834,137846;112,5535979
1700;0;1833,734592;112,559677
1700;1;1833,719635;112,5641231
1700;2;1833,723134;112,563243
1700;3;1833,726794;112,5620373
1700;4;1833,724127;112,5776105
1800;0;1833,102422;112,4285384
1800;1;1833,114483;112,4263341
1800;2;1833,118252;112,4272062
1800;3;1833,109258;112,4405951
1800;4;1833,101056;112,4293499
1900;0;1832,572197;112,0406997
1900;1;1832,595511;112,0493096
1900;2;1832,587185;112,0563448
1900;3;1832,585172;112,0511366
1900;4;1832,585902;112,0395562
2000;0;1832,116266;111,6498015
2000;1;1832,126076;111,6431194
2000;2;1832,121155;111,6649336
