0	3
1	5
2	5
3	3
4	3
5	2
6	2
7	3
8	2
9	3
10	2
11	3
12	2
13	3
14	3
15	3
16	3
17	2
18	2
19	2
20	2
21	3
22	3
23	2
24	2
25	3
26	2
27	2
28	2
29	2
30	3
31	2
32	3
33	3
34	3
35	6
36	3
37	3
38	3
39	2
40	3
41	3
42	2
43	3
44	2
45	3
46	2
47	2
48	3
49	3
50	2
51	3
52	3
53	2
54	5
55	3
56	3
57	5
58	3
59	3
60	3
61	3
62	3
63	3
64	3
65	2
66	3
67	3
68	3
69	5
70	5
71	3
72	3
73	2
74	3
75	5
76	2
77	3
78	3
79	3
80	3
81	6
82	5
83	5
84	5
85	3
86	5
87	5
88	5
89	5
90	3
91	5
92	5
93	5
94	5
95	7
96	9
97	9
98	7
99	7
100	14
101	29
102	41
103	48
104	45
105	42
106	58
107	92
108	149
109	177
110	173
111	159
112	207
113	255
114	255
115	255
116	255
117	255
118	255
119	255
120	255
121	255
122	255
123	255
124	255
125	255
126	255
127	255
128	255
129	255
130	255
131	255
132	255
133	255
134	255
135	255
136	255
137	255
138	99
139	26
140	27
141	48
142	63
143	55
144	38
145	17
146	7
147	12
148	20
149	24
150	23
151	15
152	9
153	7
154	8
155	12
156	13
157	8
158	6
159	6
160	7
161	7
162	5
163	6
164	5
165	3
166	5
167	5
168	5
169	5
170	3
171	3
172	5
173	5
174	5
175	5
176	3
177	3
178	5
179	3
180	3
181	3
182	3
183	3
184	3
185	5
186	2
187	3
188	3
189	2
190	3
191	2
192	2
193	3
194	1
195	3
196	2
197	5
198	3
199	3
200	3
201	3
202	2
203	2
204	2
205	2
206	3
207	3
208	3
209	2
210	3
211	3
212	3
213	2
214	3
215	3
216	2
217	5
218	2
219	5
220	2
221	3
222	2
223	2
224	3
225	2
226	2
227	3
228	3
229	3
230	2
231	3
232	5
233	2
234	2
235	2
236	3
237	3
238	3
239	3
240	3
241	3
242	3
243	5
244	2
245	3
246	3
247	2
248	3
249	5
250	3
251	3
252	2
253	3
254	3
255	3
